pair_id,evidence_type,attribute_name,expected_effect
CF-PR-0028,TECHNICAL_CONFLICT,nominal_size,CONTRADICTORY
CF-PR-0029,TECHNICAL_CONFLICT,nominal_size,CONTRADICTORY
CF-PR-0030,TECHNICAL_CONFLICT,nominal_size,CONTRADICTORY
CF-PR-0031,TECHNICAL_CONFLICT,nominal_size,CONTRADICTORY
CF-PR-0032,TECHNICAL_CONFLICT,nominal_size,CONTRADICTORY
CF-PR-0033,TECHNICAL_CONFLICT,nominal_size,CONTRADICTORY
CF-PR-0034,TECHNICAL_CONFLICT,nominal_size,CONTRADICTORY
CF-PR-0035,TECHNICAL_CONFLICT,nominal_size,CONTRADICTORY
CF-PR-0036,TECHNICAL_CONFLICT,nominal_size,CONTRADICTORY
CF-PR-0037,TECHNICAL_CONFLICT,nominal_size,CONTRADICTORY
CF-PR-0038,TECHNICAL_CONFLICT,nominal_size,CONTRADICTORY
CF-PR-0039,TECHNICAL_CONFLICT,grade,CONTRADICTORY
CF-PR-0040,TECHNICAL_CONFLICT,grade,CONTRADICTORY
CF-PR-0041,TECHNICAL_CONFLICT,grade,CONTRADICTORY
CF-PR-0042,TECHNICAL_CONFLICT,grade,CONTRADICTORY
CF-PR-0043,TECHNICAL_CONFLICT,grade,CONTRADICTORY
CF-PR-0044,TECHNICAL_CONFLICT,grade,CONTRADICTORY
CF-PR-0045,TECHNICAL_CONFLICT,grade,CONTRADICTORY
CF-PR-0046,TECHNICAL_CONFLICT,grade,CONTRADICTORY
CF-PR-0047,TECHNICAL_CONFLICT,grade,CONTRADICTORY
CF-PR-0048,TECHNICAL_CONFLICT,voltage,CONTRADICTORY
CF-PR-0049,TECHNICAL_CONFLICT,voltage,CONTRADICTORY
CF-PR-0050,TECHNICAL_CONFLICT,voltage,CONTRADICTORY
CF-PR-0051,TECHNICAL_CONFLICT,voltage,CONTRADICTORY
CF-PR-0052,TECHNICAL_CONFLICT,voltage,CONTRADICTORY
CF-PR-0053,TECHNICAL_CONFLICT,voltage,CONTRADICTORY
CF-PR-0054,TECHNICAL_CONFLICT,voltage,CONTRADICTORY
CF-PR-0055,TECHNICAL_CONFLICT,voltage,CONTRADICTORY
CF-PR-0056,TECHNICAL_CONFLICT,voltage,CONTRADICTORY
CF-PR-0057,TECHNICAL_CONFLICT,voltage,CONTRADICTORY
CF-PR-0058,TECHNICAL_CONFLICT,voltage,CONTRADICTORY
CF-PR-0059,TECHNICAL_CONFLICT,voltage,CONTRADICTORY
