pair_id,material_id_a,cpse_a,material_id_b,cpse_b,relation_type,decision_status,conflict_attributes,conflict_tier,reason,source_type
PR-0050,MAT-0118,CPSE_05,MAT-0119,CPSE_02,IDENTICAL,REVIEW,,none,Same material identity and relevant technical specification. Wording or local codes may differ.,SYNTHETIC
PR-0051,MAT-0005,CPSE_04,MAT-0006,CPSE_03,EQUIVALENT,APPROVED,,none,Functionally/materially interchangeable. Manufacturer or descriptions differ but technical requirements are compatible.,SYNTHETIC
PR-0052,MAT-0008,CPSE_04,MAT-0009,CPSE_03,EQUIVALENT,PROPOSED,,none,Functionally/materially interchangeable. Manufacturer or descriptions differ but technical requirements are compatible.,SYNTHETIC
PR-0053,MAT-0011,CPSE_05,MAT-0012,CPSE_02,EQUIVALENT,REVIEW,,none,Functionally/materially interchangeable. Manufacturer or descriptions differ but technical requirements are compatible.,SYNTHETIC
PR-0054,MAT-0017,CPSE_04,MAT-0018,CPSE_02,EQUIVALENT,PROPOSED,,none,Functionally/materially interchangeable. Manufacturer or descriptions differ but technical requirements are compatible.,SYNTHETIC
PR-0055,MAT-0023,CPSE_04,MAT-0024,CPSE_03,EQUIVALENT,REVIEW,,none,Functionally/materially interchangeable. Manufacturer or descriptions differ but technical requirements are compatible.,SYNTHETIC
PR-0056,MAT-0026,CPSE_04,MAT-0027,CPSE_05,EQUIVALENT,REVIEW,,none,Functionally/materially interchangeable. Manufacturer or descriptions differ but technical requirements are compatible.,SYNTHETIC
PR-0057,MAT-0029,CPSE_05,MAT-0030,CPSE_04,EQUIVALENT,APPROVED,,none,Functionally/materially interchangeable. Manufacturer or descriptions differ but technical requirements are compatible.,SYNTHETIC
PR-0058,MAT-0038,CPSE_03,MAT-0039,CPSE_01,EQUIVALENT,PROPOSED,,none,Functionally/materially interchangeable. Manufacturer or descriptions differ but technical requirements are compatible.,SYNTHETIC
PR-0059,MAT-0047,CPSE_05,MAT-0048,CPSE_01,EQUIVALENT,APPROVED,,none,Functionally/materially interchangeable. Manufacturer or descriptions differ but technical requirements are compatible.,SYNTHETIC
PR-0060,MAT-0050,CPSE_01,MAT-0051,CPSE_02,EQUIVALENT,APPROVED,,none,Functionally/materially interchangeable. Manufacturer or descriptions differ but technical requirements are compatible.,SYNTHETIC
PR-0061,MAT-0053,CPSE_03,MAT-0054,CPSE_04,EQUIVALENT,PROPOSED,,none,Functionally/materially interchangeable. Manufacturer or descriptions differ but technical requirements are compatible.,SYNTHETIC
PR-0062,MAT-0056,CPSE_01,MAT-0057,CPSE_02,EQUIVALENT,APPROVED,,none,Functionally/materially interchangeable. Manufacturer or descriptions differ but technical requirements are compatible.,SYNTHETIC
PR-0063,MAT-0059,CPSE_04,MAT-0060,CPSE_05,EQUIVALENT,REVIEW,,none,Functionally/materially interchangeable. Manufacturer or descriptions differ but technical requirements are compatible.,SYNTHETIC
PR-0064,MAT-0062,CPSE_01,MAT-0063,CPSE_02,EQUIVALENT,APPROVED,,none,Functionally/materially interchangeable. Manufacturer or descriptions differ but technical requirements are compatible.,SYNTHETIC
PR-0065,MAT-0068,CPSE_03,MAT-0069,CPSE_04,EQUIVALENT,APPROVED,,none,Functionally/materially interchangeable. Manufacturer or descriptions differ but technical requirements are compatible.,SYNTHETIC
PR-0066,MAT-0071,CPSE_03,MAT-0072,CPSE_04,EQUIVALENT,PROPOSED,,none,Functionally/materially interchangeable. Manufacturer or descriptions differ but technical requirements are compatible.,SYNTHETIC
PR-0067,MAT-0074,CPSE_03,MAT-0075,CPSE_02,EQUIVALENT,APPROVED,,none,Functionally/materially interchangeable. Manufacturer or descriptions differ but technical requirements are compatible.,SYNTHETIC
PR-0068,MAT-0077,CPSE_01,MAT-0078,CPSE_02,EQUIVALENT,PROPOSED,,none,Functionally/materially interchangeable. Manufacturer or descriptions differ but technical requirements are compatible.,SYNTHETIC
PR-0069,MAT-0083,CPSE_01,MAT-0084,CPSE_03,EQUIVALENT,REVIEW,,none,Functionally/materially interchangeable. Manufacturer or descriptions differ but technical requirements are compatible.,SYNTHETIC
PR-0070,MAT-0086,CPSE_05,MAT-0087,CPSE_02,EQUIVALENT,PROPOSED,,none,Functionally/materially interchangeable. Manufacturer or descriptions differ but technical requirements are compatible.,SYNTHETIC
PR-0071,MAT-0089,CPSE_04,MAT-0090,CPSE_03,EQUIVALENT,PROPOSED,,none,Functionally/materially interchangeable. Manufacturer or descriptions differ but technical requirements are compatible.,SYNTHETIC
PR-0072,MAT-0092,CPSE_05,MAT-0093,CPSE_02,EQUIVALENT,APPROVED,,none,Functionally/materially interchangeable. Manufacturer or descriptions differ but technical requirements are compatible.,SYNTHETIC
PR-0073,MAT-0095,CPSE_02,MAT-0096,CPSE_04,EQUIVALENT,PROPOSED,,none,Functionally/materially interchangeable. Manufacturer or descriptions differ but technical requirements are compatible.,SYNTHETIC
PR-0074,MAT-0098,CPSE_02,MAT-0099,CPSE_05,EQUIVALENT,APPROVED,,none,Functionally/materially interchangeable. Manufacturer or descriptions differ but technical requirements are compatible.,SYNTHETIC
PR-0075,MAT-0101,CPSE_02,MAT-0102,CPSE_01,EQUIVALENT,REVIEW,,none,Functionally/materially interchangeable. Manufacturer or descriptions differ but technical requirements are compatible.,SYNTHETIC
PR-0076,MAT-0098,CPSE_02,MAT-0102,CPSE_01,VARIANT_OF,REVIEW,cross_section,near_miss_dimension,Closely related material but meaningful dimension differs: cross_section.,SYNTHETIC_MUTATION
PR-0077,MAT-0093,CPSE_02,MAT-0094,CPSE_01,VARIANT_OF,REVIEW,voltage,near_miss_dimension,Closely related material but meaningful dimension differs: voltage.,SYNTHETIC_MUTATION
PR-0078,MAT-0031,CPSE_05,MAT-0035,CPSE_02,VARIANT_OF,APPROVED,schedule,near_miss_dimension,Closely related material but meaningful dimension differs: schedule.,SYNTHETIC_MUTATION
PR-0079,MAT-0009,CPSE_03,MAT-0012,CPSE_02,VARIANT_OF,PROPOSED,nominal_size,near_miss_dimension,Closely related material but meaningful dimension differs: nominal_size.,SYNTHETIC_MUTATION
PR-0080,MAT-0033,CPSE_04,MAT-0036,CPSE_03,VARIANT_OF,PROPOSED,schedule,near_miss_dimension,Closely related material but meaningful dimension differs: schedule.,SYNTHETIC_MUTATION
PR-0081,MAT-0099,CPSE_05,MAT-0102,CPSE_01,VARIANT_OF,REVIEW,cross_section,near_miss_dimension,Closely related material but meaningful dimension differs: cross_section.,SYNTHETIC_MUTATION
PR-0082,MAT-0068,CPSE_03,MAT-0070,CPSE_05,VARIANT_OF,REVIEW,grade,near_miss_grade,Closely related material but meaningful dimension differs: grade.,SYNTHETIC_MUTATION
PR-0083,MAT-0002,CPSE_02,MAT-0004,CPSE_05,VARIANT_OF,REVIEW,pressure_class,near_miss_pressure,Closely related material but meaningful dimension differs: pressure_class.,SYNTHETIC_MUTATION
PR-0084,MAT-0032,CPSE_01,MAT-0036,CPSE_03,VARIANT_OF,REVIEW,schedule,near_miss_dimension,Closely related material but meaningful dimension differs: schedule.,SYNTHETIC_MUTATION
PR-0085,MAT-0067,CPSE_05,MAT-0071,CPSE_03,VARIANT_OF,REVIEW,grade,near_miss_grade,Closely related material but meaningful dimension differs: grade.,SYNTHETIC_MUTATION
PR-0086,MAT-0091,CPSE_03,MAT-0095,CPSE_02,VARIANT_OF,REVIEW,voltage,near_miss_dimension,Closely related material but meaningful dimension differs: voltage.,SYNTHETIC_MUTATION
PR-0087,MAT-0092,CPSE_05,MAT-0095,CPSE_02,VARIANT_OF,APPROVED,voltage,near_miss_dimension,Closely related material but meaningful dimension differs: voltage.,SYNTHETIC_MUTATION
PR-0088,MAT-0068,CPSE_03,MAT-0072,CPSE_04,VARIANT_OF,APPROVED,grade,near_miss_grade,Closely related material but meaningful dimension differs: grade.,SYNTHETIC_MUTATION
PR-0089,MAT-0008,CPSE_04,MAT-0011,CPSE_05,VARIANT_OF,APPROVED,nominal_size,near_miss_dimension,Closely related material but meaningful dimension differs: nominal_size.,SYNTHETIC_MUTATION
PR-0090,MAT-0092,CPSE_05,MAT-0096,CPSE_04,VARIANT_OF,APPROVED,voltage,near_miss_dimension,Closely related material but meaningful dimension differs: voltage.,SYNTHETIC_MUTATION
PR-0091,MAT-0098,CPSE_02,MAT-0101,CPSE_02,VARIANT_OF,PROPOSED,cross_section,near_miss_dimension,Closely related material but meaningful dimension differs: cross_section.,SYNTHETIC_MUTATION
PR-0092,MAT-0069,CPSE_04,MAT-0070,CPSE_05,VARIANT_OF,REVIEW,grade,near_miss_grade,Closely related material but meaningful dimension differs: grade.,SYNTHETIC_MUTATION
PR-0093,MAT-0001,CPSE_04,MAT-0005,CPSE_04,VARIANT_OF,PROPOSED,pressure_class,near_miss_pressure,Closely related material but meaningful dimension differs: pressure_class.,SYNTHETIC_MUTATION
PR-0094,MAT-0031,CPSE_05,MAT-0036,CPSE_03,VARIANT_OF,APPROVED,schedule,near_miss_dimension,Closely related material but meaningful dimension differs: schedule.,SYNTHETIC_MUTATION
PR-0095,MAT-0092,CPSE_05,MAT-0094,CPSE_01,VARIANT_OF,PROPOSED,voltage,near_miss_dimension,Closely related material but meaningful dimension differs: voltage.,SYNTHETIC_MUTATION
PR-0096,MAT-0105,CPSE_05,MAT-0107,CPSE_05,VARIANT_OF,REVIEW,cores,near_miss_dimension,Closely related material but meaningful dimension differs: cores.,SYNTHETIC_MUTATION
PR-0097,MAT-0104,CPSE_03,MAT-0108,CPSE_01,VARIANT_OF,REVIEW,cores,near_miss_dimension,Closely related material but meaningful dimension differs: cores.,SYNTHETIC_MUTATION
PR-0098,MAT-0097,CPSE_01,MAT-0102,CPSE_01,VARIANT_OF,APPROVED,cross_section,near_miss_dimension,Closely related material but meaningful dimension differs: cross_section.,SYNTHETIC_MUTATION
PR-0099,MAT-0104,CPSE_03,MAT-0106,CPSE_03,VARIANT_OF,PROPOSED,cores,near_miss_dimension,Closely related material but meaningful dimension differs: cores.,SYNTHETIC_MUTATION
PR-0100,MAT-0091,CPSE_03,MAT-0096,CPSE_04,VARIANT_OF,APPROVED,voltage,near_miss_dimension,Closely related material but meaningful dimension differs: voltage.,SYNTHETIC_MUTATION
PR-0101,MAT-0097,CPSE_01,MAT-0106,CPSE_03,DISTINCT,REVIEW,type;standard;conductor;cores;cross_section;voltage;insulation,near_miss_standard,"Clearly different materials, differing in technical attributes: type;standard;conductor;cores;cross_section;voltage;insulation.",SYNTHETIC_MUTATION
PR-0102,MAT-0037,CPSE_05,MAT-0047,CPSE_05,DISTINCT,PROPOSED,standard;material;grade;nominal_diameter;schedule;length,near_miss_standard,"Clearly different materials, differing in technical attributes: standard;material;grade;nominal_diameter;schedule;length.",SYNTHETIC_MUTATION
PR-0103,MAT-0041,CPSE_05,MAT-0057,CPSE_02,DISTINCT,PROPOSED,standard;material;grade;schedule,near_miss_standard,"Clearly different materials, differing in technical attributes: standard;material;grade;schedule.",SYNTHETIC_MUTATION
PR-0104,MAT-0013,CPSE_03,MAT-0030,CPSE_04,DISTINCT,PROPOSED,type;body_material;pressure_class;nominal_size;end_connection;standard,near_miss_grade,"Clearly different materials, differing in technical attributes: type;body_material;pressure_class;nominal_size;end_connection;standard.",SYNTHETIC_MUTATION
PR-0105,MAT-0097,CPSE_01,MAT-0110,CPSE_01,DISTINCT,APPROVED,type;standard;cores;cross_section;voltage;insulation,near_miss_standard,"Clearly different materials, differing in technical attributes: type;standard;cores;cross_section;voltage;insulation.",SYNTHETIC_MUTATION
PR-0106,MAT-0017,CPSE_04,MAT-0026,CPSE_04,DISTINCT,REVIEW,type;body_material;pressure_class;nominal_size;end_connection;standard,near_miss_grade,"Clearly different materials, differing in technical attributes: type;body_material;pressure_class;nominal_size;end_connection;standard.",SYNTHETIC_MUTATION
PR-0107,MAT-0072,CPSE_04,MAT-0078,CPSE_02,DISTINCT,PROPOSED,type;standard;material;grade;diameter;thread,near_miss_standard,"Clearly different materials, differing in technical attributes: type;standard;material;grade;diameter;thread.",SYNTHETIC_MUTATION
PR-0108,MAT-0081,CPSE_03,MAT-0082,CPSE_02,DISTINCT,APPROVED,type;standard;material;grade;length;diameter,near_miss_standard,"Clearly different materials, differing in technical attributes: type;standard;material;grade;length;diameter.",SYNTHETIC_MUTATION
PR-0109,MAT-0071,CPSE_03,MAT-0083,CPSE_01,DISTINCT,REVIEW,standard;material;grade;length;diameter,near_miss_standard,"Clearly different materials, differing in technical attributes: standard;material;grade;length;diameter.",SYNTHETIC_MUTATION
PR-0110,MAT-0069,CPSE_04,MAT-0081,CPSE_03,DISTINCT,REVIEW,type;standard;grade;length;diameter,near_miss_standard,"Clearly different materials, differing in technical attributes: type;standard;grade;length;diameter.",SYNTHETIC_MUTATION
PR-0111,MAT-0101,CPSE_02,MAT-0115,CPSE_03,DISTINCT,REVIEW,type;standard;cores;cross_section;voltage;insulation,near_miss_standard,"Clearly different materials, differing in technical attributes: type;standard;cores;cross_section;voltage;insulation.",SYNTHETIC_MUTATION
PR-0112,MAT-0018,CPSE_02,MAT-0021,CPSE_01,DISTINCT,APPROVED,type;body_material;pressure_class;nominal_size;end_connection;standard,near_miss_grade,"Clearly different materials, differing in technical attributes: type;body_material;pressure_class;nominal_size;end_connection;standard.",SYNTHETIC_MUTATION
PR-0113,MAT-0106,CPSE_03,MAT-0115,CPSE_03,DISTINCT,APPROVED,conductor;cores;cross_section;voltage,near_miss_dimension,"Clearly different materials, differing in technical attributes: conductor;cores;cross_section;voltage.",SYNTHETIC_MUTATION
PR-0114,MAT-0076,CPSE_04,MAT-0080,CPSE_05,DISTINCT,REVIEW,type;standard;material;grade;length;diameter;thread,near_miss_standard,"Clearly different materials, differing in technical attributes: type;standard;material;grade;length;diameter;thread.",SYNTHETIC_MUTATION
PR-0115,MAT-0109,CPSE_05,MAT-0114,CPSE_02,DISTINCT,PROPOSED,type;standard;cores;cross_section;voltage;insulation,near_miss_standard,"Clearly different materials, differing in technical attributes: type;standard;cores;cross_section;voltage;insulation.",SYNTHETIC_MUTATION
PR-0116,MAT-0001,CPSE_04,MAT-0023,CPSE_04,DISTINCT,APPROVED,type;body_material;nominal_size;standard,near_miss_grade,"Clearly different materials, differing in technical attributes: type;body_material;nominal_size;standard.",SYNTHETIC_MUTATION
PR-0117,MAT-0066,CPSE_03,MAT-0075,CPSE_02,DISTINCT,REVIEW,type;standard;material;grade;length;diameter;thread,near_miss_standard,"Clearly different materials, differing in technical attributes: type;standard;material;grade;length;diameter;thread.",SYNTHETIC_MUTATION
PR-0118,MAT-0039,CPSE_01,MAT-0049,CPSE_05,DISTINCT,REVIEW,standard;material;grade;nominal_diameter;schedule,near_miss_standard,"Clearly different materials, differing in technical attributes: standard;material;grade;nominal_diameter;schedule.",SYNTHETIC_MUTATION
PR-0119,MAT-0098,CPSE_02,MAT-0111,CPSE_03,DISTINCT,APPROVED,type;standard;cores;cross_section;voltage;insulation,near_miss_standard,"Clearly different materials, differing in technical attributes: type;standard;cores;cross_section;voltage;insulation.",SYNTHETIC_MUTATION
PR-0120,MAT-0061,CPSE_03,MAT-0070,CPSE_05,DISTINCT,REVIEW,grade;length;diameter,near_miss_grade,"Clearly different materials, differing in technical attributes: grade;length;diameter.",SYNTHETIC_MUTATION
PR-0121,MAT-0002,CPSE_02,MAT-0028,CPSE_01,DISTINCT,APPROVED,type;pressure_class,near_miss_pressure,"Clearly different materials, differing in technical attributes: type;pressure_class.",SYNTHETIC_MUTATION
PR-0122,MAT-0036,CPSE_03,MAT-0057,CPSE_02,DISTINCT,PROPOSED,standard;material;grade;nominal_diameter;schedule,near_miss_standard,"Clearly different materials, differing in technical attributes: standard;material;grade;nominal_diameter;schedule.",SYNTHETIC_MUTATION
PR-0123,MAT-0024,CPSE_03,MAT-0028,CPSE_01,DISTINCT,REVIEW,type;body_material;pressure_class;nominal_size;standard,near_miss_grade,"Clearly different materials, differing in technical attributes: type;body_material;pressure_class;nominal_size;standard.",SYNTHETIC_MUTATION
PR-0124,MAT-0034,CPSE_05,MAT-0043,CPSE_03,DISTINCT,PROPOSED,standard;material;grade;nominal_diameter;schedule;length,near_miss_standard,"Clearly different materials, differing in technical attributes: standard;material;grade;nominal_diameter;schedule;length.",SYNTHETIC_MUTATION
PR-0125,MAT-0002,CPSE_02,MAT-0022,CPSE_05,DISTINCT,APPROVED,type;body_material;nominal_size;standard,near_miss_grade,"Clearly different materials, differing in technical attributes: type;body_material;nominal_size;standard.",SYNTHETIC_MUTATION
PR-0126,MAT-0103,CPSE_01,MAT-0116,CPSE_05,DISTINCT,REVIEW,conductor;cores;cross_section;voltage,near_miss_dimension,"Clearly different materials, differing in technical attributes: conductor;cores;cross_section;voltage.",SYNTHETIC_MUTATION
PR-0127,MAT-0087,CPSE_02,MAT-0090,CPSE_03,DISTINCT,APPROVED,type;standard;material;grade;length;diameter,near_miss_standard,"Clearly different materials, differing in technical attributes: type;standard;material;grade;length;diameter.",SYNTHETIC_MUTATION
PR-0128,MAT-0100,CPSE_03,MAT-0106,CPSE_03,DISTINCT,PROPOSED,type;standard;conductor;cores;cross_section;voltage;insulation,near_miss_standard,"Clearly different materials, differing in technical attributes: type;standard;conductor;cores;cross_section;voltage;insulation.",SYNTHETIC_MUTATION
PR-0129,MAT-0065,CPSE_05,MAT-0085,CPSE_04,DISTINCT,PROPOSED,type;standard;material;grade;length;thread,near_miss_standard,"Clearly different materials, differing in technical attributes: type;standard;material;grade;length;thread.",SYNTHETIC_MUTATION
PR-0130,MAT-0038,CPSE_03,MAT-0047,CPSE_05,DISTINCT,REVIEW,standard;material;grade;nominal_diameter;schedule;length,near_miss_standard,"Clearly different materials, differing in technical attributes: standard;material;grade;nominal_diameter;schedule;length.",SYNTHETIC_MUTATION
PR-0131,MAT-0078,CPSE_02,MAT-0081,CPSE_03,DISTINCT,REVIEW,type;standard;material;grade;length;diameter;thread,near_miss_standard,"Clearly different materials, differing in technical attributes: type;standard;material;grade;length;diameter;thread.",SYNTHETIC_MUTATION
PR-0132,MAT-0113,CPSE_03,MAT-0115,CPSE_03,DISTINCT,PROPOSED,type;standard;cores;cross_section;voltage;insulation,near_miss_standard,"Clearly different materials, differing in technical attributes: type;standard;cores;cross_section;voltage;insulation.",SYNTHETIC_MUTATION
PR-0133,MAT-0012,CPSE_02,MAT-0022,CPSE_05,DISTINCT,APPROVED,type;nominal_size;standard,near_miss_dimension,"Clearly different materials, differing in technical attributes: type;nominal_size;standard.",SYNTHETIC_MUTATION
PR-0134,MAT-0102,CPSE_01,MAT-0109,CPSE_05,DISTINCT,REVIEW,type;standard;cores;cross_section;voltage;insulation,near_miss_standard,"Clearly different materials, differing in technical attributes: type;standard;cores;cross_section;voltage;insulation.",SYNTHETIC_MUTATION
PR-0135,MAT-0068,CPSE_03,MAT-0077,CPSE_01,DISTINCT,PROPOSED,type;standard;material;grade;diameter;thread,near_miss_standard,"Clearly different materials, differing in technical attributes: type;standard;material;grade;diameter;thread.",SYNTHETIC_MUTATION
