tender_id,organization,manufacturing_unit,location,category,description,uom,quantity,source_portal,source_url
BHEL-BAP-2026-1543,Bharat Heavy Electricals Limited,Boiler Auxiliaries Plant (BAP),Ranipet / Air Preheater,APH Spares,"Tri-Sector Regenerative Air Preheater (RAPH) Cold End Heating Element Basket Corten Steel Enamelled Double Undulated Profile",SET,96,eprocurebhel.co.in,https://eprocurebhel.co.in/nicgep/app?component=view&page=FrontEndTenderDetails&id=BHEL-BAP-2026-1543
BHEL-BFP-2026-0981,Bharat Heavy Electricals Limited,Heavy Power Equipment Plant (HPEP),Hyderabad / Pump Division,Boiler Feed Pumps,"Boiler Feed Pump (BFP) Cartridge Pull-Out Rotor Assembly 11-Stage Barrel Casing Design Capacity 1100 M3/HR Head 2800M Chrome Steel 13Cr Impellers",SET,2,eprocurebhel.co.in,https://eprocurebhel.co.in/nicgep/app?component=view&page=FrontEndTenderDetails&id=BHEL-BFP-2026-0981
BHEL-BFP-2026-0982,Bharat Heavy Electricals Limited,Heavy Power Equipment Plant (HPEP),Hyderabad / Heat Exchangers,Condenser Tubing,"Seamless Titanium Condenser Tube ASTM B338 Grade 2 OD 25.4mm (1 Inch) WT 0.71mm (22 BWG) Length 12500mm for Coastal Supercritical Thermal Station",MTR,15000,eprocurebhel.co.in,https://eprocurebhel.co.in/nicgep/app?component=view&page=FrontEndTenderDetails&id=BHEL-BFP-2026-0982
BHEL-BFP-2026-0983,Bharat Heavy Electricals Limited,Heavy Power Equipment Plant (HPEP),Hyderabad / Electrical Division,High Voltage Switchgear,"SF6 Gas Insulated Switchgear (GIS) Circuit Breaker Interrupter Unit 400 kV 4000A 63 kA Short Circuit Rating conforming to IEC 62271-100",SET,6,eprocurebhel.co.in,https://eprocurebhel.co.in/nicgep/app?component=view&page=FrontEndTenderDetails&id=BHEL-BFP-2026-0983
BHEL-BPL-2026-0421,Bharat Heavy Electricals Limited,Bhopal Heavy Electrical Plant (BPL),Bhopal / Transformer Division,Power Transformers,"Generator Transformer On-Load Tap Changer (OLTC) Vacuum Type 400 kV 1600A 3-Phase In-Tank Diverter Switch with Motor Drive Unit",SET,3,eprocurebhel.co.in,https://eprocurebhel.co.in/nicgep/app?component=view&page=FrontEndTenderDetails&id=BHEL-BPL-2026-0421
BHEL-BPL-2026-0422,Bharat Heavy Electricals Limited,Bhopal Heavy Electrical Plant (BPL),Bhopal / Traction Division,Railway Traction Motors,"AC Traction Motor Stator Stacking Lamination Pack Non-Oriented Silicon Steel Grade 50A290 Complete with Class 200 Polyimide VPI Insulation for WAG9 Loco",SET,12,eprocurebhel.co.in,https://eprocurebhel.co.in/nicgep/app?component=view&page=FrontEndTenderDetails&id=BHEL-BPL-2026-0422
BHEL-EDN-2026-0211,Bharat Heavy Electricals Limited,Electronics Division (EDN),Bengaluru / Control Systems,Automation & Instrumentation,"Triple Modular Redundant (TMR) Distributed Control System (DCS) Safety Controller Processor Module SIL-3 Certified for Power Plant Boiler Protection",NOS,12,eprocurebhel.co.in,https://eprocurebhel.co.in/nicgep/app?component=view&page=FrontEndTenderDetails&id=BHEL-EDN-2026-0211
BHEL-HPBP-2026-3305,Bharat Heavy Electricals Limited,High Pressure Boiler Plant (HPBP),Trichy / Raw Material Yard,Heavy Plates,"High Tensile Alloy Steel Boiler Plate ASTM A516 Grade 70 Normalised Thickness 75mm Ultrasonic Tested to ASTM A578 Level B for Boiler Steam Drum Shell",MT,120,eprocurebhel.co.in,https://eprocurebhel.co.in/nicgep/app?component=view&page=FrontEndTenderDetails&id=BHEL-HPBP-2026-3305
BHEL-HEEP-2026-2115,Bharat Heavy Electricals Limited,Heavy Electrical Equipment Plant (HEEP),Haridwar / Piping Centre,Control Valves,"High Pressure Turbine Bypass Valve Angle Body Design ASME Class 2500 Size 14 Inch Inlet x 28 Inch Outlet ASTM A182 F91 with Hydraulic Fast Acting Actuator",NOS,2,eprocurebhel.co.in,https://eprocurebhel.co.in/nicgep/app?component=view&page=FrontEndTenderDetails&id=BHEL-HEEP-2026-2115
BHEL-BFP-2026-0984,Bharat Heavy Electricals Limited,Heavy Power Equipment Plant (HPEP),Hyderabad / Feedwater Heaters,Heat Exchanger Tubing,"U-Tube Bundle Seamless Carbon Steel Tubes ASTM A556 Grade C2 OD 15.88mm WT 2.41mm for HP Feedwater Heater Operation at 280 Bar Design Pressure",SET,4,eprocurebhel.co.in,https://eprocurebhel.co.in/nicgep/app?component=view&page=FrontEndTenderDetails&id=BHEL-BFP-2026-0984

