gem_item_code,source_portal,category_id,category_name,unspsc_code,item_description,standard_uom,target_sector
GEM-FST-004,gem.gov.in,GEM-CAT-311616,Industrial Fasteners,31161600,"Stud Bolt ASTM A193 B7 Size 7/8"" x 140 mm with 2 Heavy Hex Nuts A194 2H",SET,Power Plant
GEM-FST-005,gem.gov.in,GEM-CAT-311616,Industrial Fasteners,31161600,High Tensile Hex Bolt Grade 8.8 Galvanized M20 x 80 mm ISO 4014,NOS,Steel Plant
GEM-FST-006,gem.gov.in,GEM-CAT-311616,Industrial Fasteners,31161600,"Stud Bolt Stainless Steel ASTM A193 B8M Class 2 Size 5/8"" x 90 mm with 2 Nuts 8M",SET,Petrochemical
GEM-CBL-001,gem.gov.in,GEM-CAT-261216,Power and Control Cables,26121600,11 kV Grade 3 Core 300 Sq mm Stranded Aluminium Conductor XLPE Insulated Armoured Cable IS 7098 Part 2,MTR,Power / Utility
GEM-CBL-002,gem.gov.in,GEM-CAT-261216,Power and Control Cables,26121600,1.1 kV 4 Core 25 Sq mm Copper Conductor XLPE FRLS Armoured Power Cable,MTR,Heavy Engineering
GEM-CBL-003,gem.gov.in,GEM-CAT-261216,Power and Control Cables,26121600,Instrumentation Cable 12 Pair 0.5 Sq mm Overall Screened ATC Conductor Armoured,MTR,Instrumentation
GEM-CBL-004,gem.gov.in,GEM-CAT-261216,Power and Control Cables,26121600,33 kV Grade 3 Core 400 Sq mm Aluminium XLPE Insulated Heavy Duty Armoured Cable,MTR,Transmission
GEM-CBL-005,gem.gov.in,GEM-CAT-261216,Power and Control Cables,26121600,1.1 kV Grade 4 Core 50 Sq mm Aluminium XLPE Armoured Power Cable IS 7098 Part 1,MTR,Mining / Coal India
GEM-CBL-006,gem.gov.in,GEM-CAT-261216,Power and Control Cables,26121600,Flexible Trailing Cable 3.3 kV 3 Core 70 Sq mm Copper Conductor for Mining Shovels,MTR,Open Cast Mining
GEM-GSK-001,gem.gov.in,GEM-CAT-314115,Gaskets and Static Seals,31411500,"Spiral Wound Gasket ASME B16.20 2"" Class 150 SS316 Winding Flexible Graphite Filler CS Outer Ring",NOS,Petrochemical
GEM-GSK-002,gem.gov.in,GEM-CAT-314115,Gaskets and Static Seals,31411500,"Spiral Wound Gasket ASME B16.20 4"" Class 300 SS316 Winding Flexible Graphite Inner & Outer Ring",NOS,Refinery
GEM-GSK-003,gem.gov.in,GEM-CAT-314115,Gaskets and Static Seals,31411500,Compressed Asbestos Free Gasket Sheet 3.0 MM Thick Grade Non-Asbestos CAF IS 2712,SQM,Steel Plant
GEM-GSK-004,gem.gov.in,GEM-CAT-314115,Gaskets and Static Seals,31411500,"Ring Type Joint Gasket ASME B16.20 Style R24 Soft Iron Octagonal 2"" Class 1500",NOS,Offshore Oil
GEM-BRG-001,gem.gov.in,GEM-CAT-311715,Bearings,31171500,Deep Groove Ball Bearing 6312-2Z/C3 Shielded SKF / FAG Equivalent,NOS,Heavy Engineering
GEM-BRG-002,gem.gov.in,GEM-CAT-311715,Bearings,31171500,Spherical Roller Bearing 22220 EK/C3 Taper Bore Steel Cage,NOS,Steel Mill Rollers
GEM-BRG-003,gem.gov.in,GEM-CAT-311715,Bearings,31171500,Spherical Roller Bearing 22316 CC/W33 Cylindrical Bore Brass Cage,NOS,Coal Conveyors
GEM-BRG-004,gem.gov.in,GEM-CAT-311715,Bearings,31171500,Taper Roller Bearing 32218 Single Row Metric Cone & Cup Assembly,NOS,Mining Dumpers
GEM-PMP-001,gem.gov.in,GEM-CAT-401515,Pumps,40151500,Horizontal Centrifugal Water Pump 50 M3/HR Head 60M with 37 kW 3-Phase Electric Motor,SET,Thermal Power
GEM-PMP-002,gem.gov.in,GEM-CAT-401515,Pumps,40151500,Submersible Dewatering Slurry Pump Capacity 100 M3/HR Head 30M 15 kW Flameproof,SET,Coal Mines
GEM-PMP-003,gem.gov.in,GEM-CAT-401515,Pumps,40151500,Multi-Stage High Pressure Boiler Feed Pump 250 M3/HR Head 1200M Cartridge Seal,SET,Supercritical Power
GEM-BLT-001,gem.gov.in,GEM-CAT-241016,Conveyor Belting,24101600,EP 800/4 Synthetic Rubber Conveyor Belting 1200 MM Width 4+2 Grade M Tensile 800 N/MM,MTR,Coal India
GEM-BLT-002,gem.gov.in,GEM-CAT-241016,Conveyor Belting,24101600,Heat Resistant Conveyor Belting EP 1000/4 1400 MM Width 5+2 Grade HR-150 Degree,MTR,Steel Plant Sinter
GEM-BLT-003,gem.gov.in,GEM-CAT-241016,Conveyor Belting,24101600,Steel Cord Conveyor Belt ST-2500 1600 MM Wide Fire Resistant DIN 22102,MTR,Lignite Mines
