tender_id,organization,subsidiary_or_unit,location,category,description,uom,quantity,source_portal,source_url
CIL-SECL-2026-1401,Coal India Limited,South Eastern Coalfields (SECL),Gevra Mega OCP,Dragline Components,"Hoist Wire Rope Extra Improved Plow Steel (EIPS) 6x36 WS IWRC Diameter 70mm Length 650M for 24/96 Walking Dragline",MTR,1300,coalindiatenders.nic.in,https://coalindiatenders.nic.in/nicgep/app?component=view&page=FrontEndTenderDetails&id=CIL-SECL-2026-1401
CIL-SECL-2026-1402,Coal India Limited,South Eastern Coalfields (SECL),Dipka Mega OCP,HEMM Spares,"Rear Wheel Spindle Forged Alloy Steel 4340 Quenched and Tempered for Komatsu HD785-7 100-Ton Heavy Mining Dumper",NOS,6,coalindiatenders.nic.in,https://coalindiatenders.nic.in/nicgep/app?component=view&page=FrontEndTenderDetails&id=CIL-SECL-2026-1402
CIL-SECL-2026-1403,Coal India Limited,South Eastern Coalfields (SECL),Kusmunda OCP,Conveyor Spares,"Troughing Carrying Idler Rollers Diameter 152.4mm Length 530mm with 6308 2RS Bearings for 1800mm High Speed Overland Conveyor",NOS,1500,coalindiatenders.nic.in,https://coalindiatenders.nic.in/nicgep/app?component=view&page=FrontEndTenderDetails&id=CIL-SECL-2026-1403
CIL-SECL-2026-1404,Coal India Limited,South Eastern Coalfields (SECL),Sohagpur Area,Pumping Equipment,"Multi-Stage Centrifugal Mine Dewatering High Head Water Pump 120 M3/HR Head 250M Bronze Impeller Cast Steel Casing",SET,4,coalindiatenders.nic.in,https://coalindiatenders.nic.in/nicgep/app?component=view&page=FrontEndTenderDetails&id=CIL-SECL-2026-1404
CIL-NCL-2026-2101,Coal India Limited,Northern Coalfields Limited (NCL),Jayant OCP,Dragline Components,"Dragline Bucket Rigging Shackle Alloy Steel Forged Proof Load Tested 120 Ton for Bucyrus 2570W Dragline",NOS,12,coalindiatenders.nic.in,https://coalindiatenders.nic.in/nicgep/app?component=view&page=FrontEndTenderDetails&id=CIL-NCL-2026-2101
CIL-NCL-2026-2102,Coal India Limited,Northern Coalfields Limited (NCL),Nigahi OCP,HEMM Spares,"Turbocharger Assembly Heavy Duty Water Cooled for Cummins QSK60 Diesel Engine Fitted on 240-Ton Mining Dump Truck",NOS,4,coalindiatenders.nic.in,https://coalindiatenders.nic.in/nicgep/app?component=view&page=FrontEndTenderDetails&id=CIL-NCL-2026-2102
CIL-NCL-2026-2103,Coal India Limited,Northern Coalfields Limited (NCL),Dudhichua OCP,Conveyor Spares,"Impact Idler Roller Assembly Diameter 152.4mm with Heavy Duty Shock Absorbing Rubber Rings for Conveyor Loading Zone",NOS,350,coalindiatenders.nic.in,https://coalindiatenders.nic.in/nicgep/app?component=view&page=FrontEndTenderDetails&id=CIL-NCL-2026-2103
CIL-WCL-2026-0331,Coal India Limited,Western Coalfields Limited (WCL),Nagpur Area,Mining Cables,"Flexible Trailing Cable 1.1 kV Grade 4 Core 25 Sq.mm Copper Conductor EPR Insulated CSP Sheathed conforming to IS 9968 Part 1",MTR,1800,coalindiatenders.nic.in,https://coalindiatenders.nic.in/nicgep/app?component=view&page=FrontEndTenderDetails&id=CIL-WCL-2026-0331
CIL-WCL-2026-0332,Coal India Limited,Western Coalfields Limited (WCL),Chandrapur Area,HEMM Spares,"Brake Disc Friction Pad Sintered Metallic for BEML BH85-1 85 Ton Dumper Rear Wet Disc Brake Assembly",SET,40,coalindiatenders.nic.in,https://coalindiatenders.nic.in/nicgep/app?component=view&page=FrontEndTenderDetails&id=CIL-WCL-2026-0332
CIL-MCL-2026-0921,Coal India Limited,Mahanadi Coalfields Limited (MCL),Lakhanpur Area,Conveyor Belting,"Heat Resistant Fabric Conveyor Belting Grade HR-120 EP 630/3 Width 1200mm Top 4mm Bottom 2mm for Crushed Coal Handling",MTR,800,coalindiatenders.nic.in,https://coalindiatenders.nic.in/nicgep/app?component=view&page=FrontEndTenderDetails&id=CIL-MCL-2026-0921
CIL-MCL-2026-0922,Coal India Limited,Mahanadi Coalfields Limited (MCL),Basundhara Area,Pumping Equipment,"Submersible Dewatering Pump High Discharge 300 M3/HR Head 50M 55 kW Non-Clogging SS410 Impeller for Sump Dewatering",SET,8,coalindiatenders.nic.in,https://coalindiatenders.nic.in/nicgep/app?component=view&page=FrontEndTenderDetails&id=CIL-MCL-2026-0922
CIL-CMPDI-2026-0115,Coal India Limited,CMPDI (Central Mine Planning & Design),Ranchi Headquarters,Exploration Drilling,"Drill Rod / Drill Pipe Wireline NQ Size Length 3.0 Metre Alloy Steel 4130 Seamless with Heat Treated Tool Joints for Core Drilling",NOS,200,coalindiatenders.nic.in,https://coalindiatenders.nic.in/nicgep/app?component=view&page=FrontEndTenderDetails&id=CIL-CMPDI-2026-0115
CIL-ECL-2026-0895,Coal India Limited,Eastern Coalfields Limited (ECL),Salanpur Area,Heavy Electricals,"Dry Type Flameproof Mining Transformer 500 kVA 3.3 kV / 550 V FLP Ex'd' Group I Certified for Hazardous Underground Mines",SET,2,coalindiatenders.nic.in,https://coalindiatenders.nic.in/nicgep/app?component=view&page=FrontEndTenderDetails&id=CIL-ECL-2026-0895
CIL-BCCL-2026-1046,Coal India Limited,Bharat Coking Coal Limited (BCCL),Sijua Area,Underground Mining Spares,"Tungsten Carbide Tipped Conical Cutter Pick Shank Diameter 38/30mm for Longwall Coal Shearer Drum",NOS,1500,coalindiatenders.nic.in,https://coalindiatenders.nic.in/nicgep/app?component=view&page=FrontEndTenderDetails&id=CIL-BCCL-2026-1046

